num_est,file_num,law_name,link
18,0110,"Ley para la Prevención de la Obesidad, Sobrepeso y Trastornos Alimenticios en el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-prevencion-de-la-obesidad-sobrepeso-y-trastornos-alimenticios-en-el-estado-de-nayarit/
18,0111,Ley para la Prevención Social de la Violencia y la Delincuencia del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-prevencion-social-de-la-violencia-y-la-delincuencia-del-estado-de-nayarit/
18,0112,Ley para la Prevención y Erradicación de la Trata de Personas en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-prevencion-y-erradicacion-de-la-trata-de-personas-en-el-estado-de-nayarit/
18,0113,"Ley para la Protección, Apoyo y Promoción a la Lactancia Materna del Estado",https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-proteccion-apoyo-y-promocion-a-la-lactancia-materna-del-estado/
18,0114,Ley para la Protección de Personas Defensoras de Derechos Humanos y Periodistas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-proteccion-de-personas-defensoras-de-derechos-humanos-y-periodistas-del-estado-de-nayarit/
18,0115,Ley para la Protección e Inclusión de las Personas con Discapacidad del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-proteccion-e-inclusion-de-las-personas-con-discapacidad-del-estado-de-nayarit/
18,0116,Ley para Prevenir y Erradicar la Discriminación en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-prevenir-y-erradicar-la-discriminacion-en-el-estado-de-nayarit/
18,0117,Ley para Prevenir y Sancionar la Tortura en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-prevenir-y-sancionar-la-tortura-en-el-estado-de-nayarit/
18,0118,Ley que Crea el Consejo Estatal de Armonización Contable para Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-crea-el-consejo-estatal-de-armonizacion-contable-para-nayarit/
18,0119,Ley que Crea el Fondo de Garantías de Bienes y Valores del Gobierno del Estado,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-crea-el-fondo-de-garantias-de-bienes-y-valores-del-gobierno-del-estado/
18,0120,"Ley que Crea la Comisión de Financiamiento y Comercialización de Productos Agrícolas, Ganaderos, Pesqueros y Artesanales en el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-que-crea-la-comision-de-financiamiento-y-comercializacion-de-productos-agricolas-ganaderos-pesqueros-y-artesanales-en-el-estado-de-nayarit/
18,0121,Ley que Crea la Escuela Normal Superior del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-crea-la-escuela-normal-superior-del-estado-de-nayarit/
18,0122,Ley que Crea la Medalla Nayarit al Mérito,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-crea-la-medalla-nayarit-al-merito/
18,0123,Ley que Crea la Procuraduría de la Defensa del Menor y la Familia en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-crea-la-procuraduria-de-la-defensa-del-menor-y-la-familia-en-el-estado-de-nayarit/
18,0124,Ley que Establece el Derecho de Vía de una Carretera o Camino Local,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-establece-el-derecho-de-via-de-una-carretera-o-camino-local/
18,0125,Ley que Establece las Bases y Lineamientos para la Delimitación Territorial del Estado de Nayarit y sus Municipios,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-establece-las-bases-y-lineamientos-para-la-delimitacion-territorial-del-estado-de-nayarit-y-sus-municipios/
18,0126,Ley que Regula el Régimen de Propiedad en Condominio Bienes Inmuebles para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-regula-el-regimen-de-propiedad-en-condominio-de-bienes-inmuebles-para-el-estado-de-nayarit/
18,0127,"Ley que Regula la Prestación de Servicios para la Atención, Cuidado y Desarrollo Integral Infantil para el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-que-regula-la-prestacion-de-servicios-para-la-atencion-cuidado-y-desarrollo-integral-infantil-para-el-estado-de-nayarit/
18,0128,Ley que Regula las Casas de Empeño en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-regula-las-casas-de-empeno-en-el-estado-de-nayarit/
18,0129,"Ley que Regula los Establecimientos Dedicados a la Producción, Almacenamiento, Distribución y Enajenación de Bebidas Alcohólicas en el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-que-regula-los-establecimientos-dedicados-a-la-produccion-almacenamiento-distribucion-y-enajenacion-de-bebidas-alcoholicas-en-el-estado-de-nayarit/
18,0130,Ley de Remuneraciones de los Servidores Públicos del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-remuneraciones-de-los-servidores-publicos-del-estado-de-nayarit/
18,0131,Ley que Restringe el Acceso a Menores de Edad a Medios de Comunicación con Contenido Exclusivo para Adultos del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-que-restringe-el-acceso-a-menores-de-edad-a-medios-de-comunicacion-con-contenido-exclusivo-para-adultos-del-estado-de-nayarit/
18,0132,Ley Sobre el Sistema Estatal de Asistencia Social,https://mexico.justia.com/estatales/nayarit/leyes/ley-sobre-el-sistema-estatal-de-asistencia-social/
